Distance Metric,Group,Ensemble/Model,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,Training Set Size
Euclidean Distance,Primary,MNIST_256,138.57819090489747,123.49616609488662,136.68250495671788,102.20598288838339,128.5340088200631,123.45711725046245,77.80462429769291,134.59695308749377,98.74757011504754,100.76183636963671,67.17766959426268,81.63434467003141,129.0284557276162,138.0346257047133,116.62790383188965,59.738468296487746,133.98789683046826,102.63472069986233,104.16622166397823,112.1060080040728,87.62431186696041,89.0584021519992,129.80579862888604,105.30702275186898,87.67857059968652,56.65965522025137,110.2885188534838,92.92381488602626,129.88730565846586,108.02040868113953,88.90858937729973,80.58614418359663,86.99357722439245,98.92685122242582,116.44189654454118,123.3313416493696,72.18509915008474,115.92631965315242,42.8049963771877,104.36741901788021,146.5049345345194,116.27975464231285,76.72106181204356,127.73823169274529,96.70968294356894,130.8135098905101,132.87849999935383,125.41874354844799,99.77708529995412,129.87036467080029,125.14115978331286,119.82048713691451,112.54557509744875,122.46548803407164,112.17034939950473,136.49863841820078,136.83781496298434,110.68464328153165,103.6982764340876,106.72224273239416,124.45863091207467,111.2255920109219,101.12041840614172,117.99075475303987,123.50406836526417,111.61423042530942,76.26156064698779,64.25284507439684,27.757170690483036,119.08634243274201,115.28712112400116,97.06059396342819,105.57046700311787,54.51239494451294,60.495784624585035,129.54608086634363,126.43824214314357,126.88694045530026,151.25730443868213,132.5502782742074,129.5914330267713,119.34498982086875,111.38190631910925,147.55877761200972,145.56497400905872,120.28468605635024,114.35557823437743,137.15232003821123,33.524827067798135,114.01723420302831,35.426106052662156,119.41167018261643,107.28434787461796,124.90672135727924,111.25425425916421,123.84052272326215,93.64935695137636,111.87102778358187,75.1916817750106,127.68957590757783,256
Euclidean Distance,Primary,MNIST_512,136.66224712981358,123.21592621546071,131.51977200187886,84.69204097693112,100.37638264949834,109.26109816666222,64.90580650421403,141.92428704433033,119.62381574890603,85.82388263452759,102.49588256654842,108.88097649685385,52.25433109500234,122.34598931998437,115.26363895935081,67.13367852722779,143.53498910795767,106.3921841918924,96.99377484944144,87.51983803818966,88.24812871932326,103.90532781102846,116.43487964559388,127.15759982298081,85.53134005657076,67.53533322309003,117.16911685125909,94.27551277005499,76.0301813774632,49.45181667387733,98.10801479442438,116.08184109140223,113.02465354271244,70.82674115858062,105.97113721880766,131.3395130215776,111.92433507238292,107.41153081984994,67.1555551302546,111.94123641655163,144.78430105405118,106.39760213646564,47.015697361766904,60.99845095049074,123.3205850472169,139.4523035820449,112.60673179863153,95.33503147484824,77.99066462128879,87.01235502741335,113.93531752398076,119.3861794141243,125.92995965518024,107.8128947967351,122.39479046464038,130.19275880190577,129.34578870562035,108.2740609886597,116.52171211825421,115.77722046139675,97.1726132711046,89.35788234190959,128.09005451303273,121.52243531585452,133.99248226160708,70.28260112769173,47.9399293298415,106.31351167233932,26.74063709899141,118.08630879501321,148.8046405738749,131.40419799398245,99.4083875644959,49.08800499940924,82.35690686586624,135.2181006110669,134.19480945517006,89.15132650867969,125.8059944404448,95.24931562734994,135.75739752808727,98.46327999169065,106.13114497945408,126.74093345630102,154.02333693180577,118.50911990370899,107.14088466666836,108.58518315215306,123.1871978947236,71.87383162710283,40.55007097117989,112.5197671809816,119.50920639943364,122.9520723147441,122.3442714351197,108.79722960970047,120.93094112794566,93.55158948082737,90.23382522716284,119.97061705958899,512
Euclidean Distance,Primary,MNIST_1024,119.03007509617412,117.7087837742503,119.25211832218409,74.92005774890602,130.06323028310854,102.6357976815275,45.11386006432186,130.85199051147904,79.20976161551229,116.00296374711527,106.88472160434594,42.15495865526522,69.87061269364347,112.25124856213242,70.98887645355946,114.07942163512989,102.5959493599163,110.91905527856736,81.90220256393263,73.31777992836511,64.73698467276188,113.34752339578044,43.95527886808162,105.83849007825609,94.75523872576767,87.84329593646135,102.25122933281939,88.6514352275554,81.80857123155783,36.99398983603723,122.79770053790374,101.47737505927476,97.14593980495562,62.546357715064374,79.20113915494147,100.83061122946941,73.74449592150332,86.06480937955016,49.743873618997426,92.07278133131094,144.1087494382634,81.97515320543641,45.10553492997762,113.04041843997067,97.2989769174011,135.8912471880441,74.79487019301686,107.64427779001682,54.78279332583905,40.643302564961175,122.07844857405817,95.1637517465897,128.30862232581646,66.47829884410109,94.48255753974637,132.08452004389449,117.48185118362547,58.80171228702465,97.32836596308618,101.29570212758487,76.32684687909529,131.90683789089024,111.87052563262141,109.56159587299246,109.08992415439535,95.693857979584,37.88065298357106,95.83178431246974,25.65159389989876,78.00354215052444,123.74181041603758,97.90989641877987,56.02241904419554,17.156104842326076,123.97022303054585,84.51803245463752,110.40145656883784,79.21519938183397,111.63057676052183,126.0378560391814,86.21470804849285,123.08457409580713,105.97316564439788,113.05438616537045,71.77081139321758,127.86947809640719,43.25655562836903,114.05160511482096,104.43427777536384,110.30074226502097,29.571184427845814,99.09813095068436,121.3520211372778,91.21486302263791,131.88739936292137,115.81110243672791,69.92494410611386,96.50028599306283,92.40864764410523,111.51135555091273,1024
Euclidean Distance,Primary,MNIST_2048,37.70825993377521,75.04377849541072,112.93467601929983,39.27376180371291,77.80664611603366,72.78704600667025,17.666779154601002,121.64024257407502,38.105220178882234,115.24100252263385,63.34928388631905,88.02977894577235,79.67840060659827,104.65984266534642,80.69295037143367,104.95243810129911,78.55447443387831,57.06976719544745,34.824905815267826,56.78683816548335,26.70948556950767,47.40330504523561,120.98231909989869,112.20158847504408,83.83761790323278,65.95507736506448,58.31276921828798,72.7362230436735,20.10346173472956,28.149819705304647,109.40119828462674,89.21551593737358,63.591274398507814,63.95925855102223,64.34644997777373,69.0398898238283,72.68380112630271,38.995322399770174,15.502478782454794,101.64212682504751,120.63496278025944,74.37348625020867,34.54874591239554,86.27470187376723,94.75851592150953,107.8456006816589,108.02541036899555,114.00781226527046,43.52000648686739,72.94894344066783,112.28621412637824,58.072119977743576,58.662656114477905,60.121649122805145,47.400900006425054,119.24268316992729,68.51020645480068,66.70461696052435,77.63275652423069,89.51593435671005,66.2311811063162,118.98617653063194,106.56334498966031,100.78484281232453,114.87805309422285,110.94636964791583,30.856525705351352,83.94562000322561,8.945889562376541,63.33723226326834,128.16862792384362,19.5725246401132,40.275143320335545,8.203825243796619,53.077012942200895,110.33934181648054,105.50171857228308,83.9205785276981,85.83755964095027,133.9331623757796,51.42454645461327,115.65540920999165,55.97316199932544,94.61965135919769,39.60681342822892,100.93599685866835,112.03207288239658,103.80607370934656,88.21464978621034,89.69329936173926,15.981395350106233,104.63377706614958,109.7001631090777,32.996917745255786,60.26192763650561,109.80259529775928,24.64505212143259,58.27754597131247,91.7904799900474,56.631792449196084,2048
Euclidean Distance,Primary,MNIST_4096,76.05292353017184,90.50570693599711,101.0120264784296,25.1469503545863,69.78778421416774,61.701482116864,15.238193758709642,113.62004600781424,72.46525974251689,114.93187574848332,70.69010984659286,71.20866660749691,34.48641642443014,97.97690714300154,58.69746971198569,77.71403230007871,101.60940772562475,58.67301628166185,23.519112389433726,61.47988818381863,9.78300329425081,38.415863316788325,81.86361622697203,81.61283146572598,32.34365238196255,73.77309870450031,77.29803326559635,69.18166818316062,40.416218007598296,113.92068907363303,109.35653988539441,52.50800983152044,68.51326561130972,51.8574104933922,65.76934758219416,110.15106824256057,81.30838923145645,38.026306494723144,10.542149830453942,65.82097662962741,107.84518442494169,26.697638771190825,37.65578515840858,88.64470244033572,88.3449117096998,89.73877045265758,79.32269933086636,105.5463769715154,40.449280683994,22.70783795846163,104.12916820889687,81.11879420764058,34.52832620787897,42.81266409020872,29.13230448841575,83.59694223369046,41.5283700617457,56.78945463627726,78.35876109704436,62.981795277515594,55.150533010122736,98.53494221954593,86.6677473235576,108.77808180070872,83.38471077315762,112.09726000576188,19.36945743460851,92.26486068093112,6.786029674833688,30.527785311120756,129.24344241118203,54.40317050336639,29.857301455683793,11.131784903540495,44.299116827373,86.7333242746422,99.6694994566785,66.12714996326058,91.35200970008506,117.0472395273592,42.06231510668762,65.11283805940646,29.622033819840482,59.540237597602086,29.01621841868468,82.11194969866115,59.278616947209564,96.45768905566813,86.71322502172539,68.37602643236986,23.879456909737414,78.32181996520416,98.88815916947354,43.95109317553632,73.2377264936708,70.40387058463952,31.41097965267782,63.32087271355696,27.087420239738307,48.91782537818905,4096
Euclidean Distance,Primary,MNIST_8192,68.4780754005816,46.63991004761712,102.54143955170996,23.115062565635142,75.73722254278914,57.23346840855294,14.114791210510926,107.805329496081,86.25856036328867,86.38273701000745,68.35460572955714,68.98162049066809,36.79369767531395,111.68862805444923,34.67731307639349,93.00670943799678,120.2804309876854,89.88226669685459,14.382077577332169,50.379775130658395,45.4816129631045,21.943440310734623,78.88149363961948,89.81047893125921,31.16916753622501,64.28554435207117,64.67229309310754,66.3238411730175,31.759419561231717,93.86881013559037,102.60958011559262,58.24030090599621,67.0939227071093,57.02132284226334,27.908892960282095,95.085277444521,84.65075888218286,28.94665729616391,17.19355308056383,67.29948745291726,110.4432936725424,63.31478743678629,37.6270105869251,73.30742636843065,87.29497351665191,78.14611337979431,82.359080650945,105.93481716841853,38.91292669513536,73.90283865528089,87.82271435433253,71.81042185384752,26.46841511680894,58.48229141818497,41.52632511803177,79.48478176784936,70.62673971683444,27.371338705311963,78.78442653751532,63.38070796484382,50.796811503309044,76.18786338629282,91.3063668206803,103.35543947309236,109.4858900084557,105.45225670267912,17.857469330018116,85.3755741500902,8.568890643853448,89.68502708539087,110.76565476740049,32.80232103358389,24.02491715884222,12.955107429513781,49.7747658139391,80.06107928195523,94.55881841323941,41.1566263842774,92.5440434004403,61.99520078522821,27.017560139178585,104.48507430936267,26.348789213169198,63.98525147047481,19.938176433561342,83.07001408769582,71.70763287369405,89.74447250895844,67.4006047989524,63.523120620126186,12.180952526117837,72.13064219987423,76.05079599583942,21.81819824503726,47.234958935745986,74.71701036514978,18.797862630319703,51.982247865058945,62.877030729767746,38.2472760426927,8192
Euclidean Distance,Primary,FASHION_256,87.0660851801811,134.4035456807282,85.10277403357827,124.36533654942333,79.83793925253165,26.30466765295709,59.63378964298313,55.0407370418962,75.08539095263296,35.748549738138735,104.1629048247395,76.54606220232802,38.553323838585754,109.1914247209003,98.83649708579289,65.60484028465216,52.47450446940961,83.30151889496052,100.07951232313238,141.25414015861685,63.18953380840233,88.01689480928722,103.66500232570856,63.19816287622263,100.9329046659119,46.00913245792756,138.8496695715135,103.25639680339381,147.21847783481462,81.59226970534559,68.63208377870059,95.65223891511226,57.090044844100206,118.01193759487133,79.56274070445863,65.89937164470234,90.74733404946448,82.43797120973092,94.02624767618923,82.67706113939815,141.6459896962514,48.06223282133283,55.16725265493075,65.53914440307692,67.51541236590917,83.22196761122666,134.97484811422754,76.2525087152008,64.86499352417881,102.39997173310317,110.17098909974143,78.47191685163125,113.90236056357674,87.74336789533254,79.68957346546821,82.11522689440302,76.03356428919673,87.05925989146873,57.38463566939571,40.67673855095247,55.8426688221042,131.0951372923267,156.04281630623433,56.6106492508615,127.71747171488052,133.36458212906584,176.33299230400667,109.12809423463875,66.6104834771891,86.47642780762756,87.83021358249182,63.99149532123299,72.82919365110035,55.400181324458295,55.34245048213067,70.44947382054741,83.43966326707908,89.80254362463425,102.93054047356104,43.578748238365385,113.49068927750348,68.02631132466641,117.40487672718862,126.08927365463131,162.67377259692356,57.1139961234636,88.88922352907515,70.28605011192006,67.92457950442967,89.97217154052291,150.8943021522753,33.6626476846922,56.855223197596764,37.36726969900952,168.90594173802464,76.87824166991273,135.10469378099978,70.85983026397423,98.76614309333456,142.24973372469537,256
Euclidean Distance,Primary,FASHION_512,51.76315807956633,82.53731781290553,77.0602713930745,30.028188052598303,72.53240261172814,31.526441337333072,85.99190498879273,30.79087277089774,90.35052246747077,29.207045694528492,79.36655825291164,85.44506920011618,42.5551630598667,57.71028056724514,100.83594327979941,60.12571918848455,76.62928711677252,91.6701553697752,76.11164876354613,42.003589873313324,49.931631827457984,99.81932544587693,95.45102834671134,52.61654381509638,98.51121558666483,43.78868367970408,136.6360559928766,116.6827043590731,168.76251156632244,76.81689996574453,36.22835828446991,80.15903836273914,60.45472056906959,18.628110828503306,59.109398680788644,74.8376190971496,35.715457329120376,24.728116810077207,78.0763408252902,51.12552216491698,156.34852052515444,31.751414878487232,37.464990918812155,79.3154776071852,79.99995561701986,44.333451399293516,110.09041369233825,146.81383666218764,77.76911693898978,80.248771417921,103.00713831677754,65.98089849603059,106.87751309516375,89.10629149622703,38.08183712297408,44.65205627282248,61.40254372141094,63.285689110078316,27.55415634297418,26.19454627769369,59.7293040414596,139.57823775712524,162.6017800065943,48.93853580168272,101.59487177676972,129.11027990517104,141.78027543467394,109.83307453960848,80.86923178754824,90.32080966656119,63.769022624006844,72.57697511671724,77.99427217950462,49.71501976052021,112.73776677031009,26.27766382433414,102.55463422892063,51.00781401543868,130.12712238557583,42.920292880605956,119.41739206066572,65.00100375471548,125.5125664910577,132.4267094944407,150.7319620325626,24.98573842272223,95.82444365829795,47.28290444159439,38.44215686609222,86.4430942340032,138.3933464934574,18.88682924456193,64.20338320479289,70.38825765411933,151.99004840596496,41.26382239983373,115.55275898207725,62.048587361023024,47.48057022064955,135.16750229455243,512
Euclidean Distance,Primary,FASHION_1024,45.23527488075819,91.26710654427276,122.7129691705779,102.47082787652194,77.22114470340276,37.4387337093804,74.77485683434328,28.889616911406897,39.22577335074289,20.393620747436657,91.32003721985349,65.7389806635861,42.296485939117325,53.82074146174348,151.34009327466097,55.26700230032362,39.450948413006174,87.92899856946067,131.5726035687174,153.9541986732517,37.41403250720108,103.90904769248544,80.4176130711216,31.382125794200597,100.65613359246277,71.7919744133006,131.0035079565442,120.07643876725358,170.26181540372446,71.37264532508054,28.743652859529274,76.43823849807113,50.774293997082715,48.285997235832234,59.58446652561824,32.59318176580748,33.97882109041269,55.13977640797001,67.75830807127663,100.23016421851575,138.62067551905102,31.799452885828348,34.732364679057156,33.704689613130626,31.705507709103273,42.888029681397285,108.11146318621729,137.7269128819514,29.580864048333364,79.02808207657293,96.21797804454982,66.31109578877144,101.07942703037055,39.87107367478852,43.30759002334913,38.91461484737739,30.85952539661507,38.4037026741212,28.975032129053865,48.67022531119214,106.45357214680696,53.9233024917899,160.17064256059146,70.13085903614424,95.88392211811292,137.26198716507292,144.5050258330493,97.66560658377223,75.29994816498261,67.94792952409043,53.29884803985227,53.9062855207553,31.161803756680044,34.546724094054795,116.89722853517534,19.989275249223862,83.03500887995312,44.74919605467092,121.5577048135764,19.151576775770653,109.56540164869267,41.923675190858084,138.69108236950518,127.80569170993157,51.24142323166262,37.64602625092727,89.97416032261626,42.81056628849896,31.15393782617463,72.65784124309752,105.48160610486731,85.87012677363501,58.111618115132366,50.074890210673736,146.2410806338028,41.31608243959228,120.31493404446765,68.4700938432103,53.45997572928547,124.97636176679376,1024
Euclidean Distance,Primary,FASHION_2048,54.173670996318734,86.33892433870851,124.54289977193693,18.007194558661975,54.85703568461609,30.461435311847048,76.61650869627906,18.69342183779635,77.74293901655177,39.84283098688815,79.62080521288499,31.627462878250753,20.043763583869396,67.95484731429552,120.98294018134978,39.325628712127426,41.801031426018554,84.20071269113234,131.4964219822181,94.49573900245808,38.369391227573864,86.52836078853687,86.64088224717372,22.756237712711755,100.92508168252812,35.71952409117504,80.09830452552306,117.81608550579831,185.545929546317,64.30737470435163,25.128060228324244,85.70301621979807,55.5872457717235,19.803459572110295,45.93801863177909,39.449524550743334,74.09466032217138,54.94065703402936,44.32812595621299,104.62958146273006,116.95505518262041,29.4423628847429,34.85430477182711,75.29735151593714,82.75481525127357,39.8695771327814,130.35842897535616,149.41701367013917,28.257111525978427,61.47538864692305,75.70750974187958,58.77641312876743,92.77237012070535,46.1176168871324,44.769321736585646,37.84651662913493,78.01629414201999,51.713702817211846,29.17043162153753,42.713079626052846,89.02691200097964,169.8177553807024,86.04584657354383,80.69423878508218,95.69733339281024,99.11297744026493,115.55574545884201,92.55782612285466,61.266784566354495,67.07382345419249,36.72004336174059,74.4752511066928,82.87869457176578,40.946945322043675,120.66510505238519,23.026931768452076,102.8912537681556,43.50545401988867,124.4283036369635,26.386392721769724,104.89475681334258,55.782972323056406,124.650505436961,124.85924166251914,31.556795041442154,28.110846844249483,91.17941512918009,46.53796679539705,28.082772641210845,79.39490335317895,39.10357227161849,72.7649910079075,53.900851058058365,30.9827175631614,146.50892531320505,36.67236875312086,124.79721280440506,69.86414419640298,43.75781130651085,92.29670762342259,2048
