Attribution Method,Group,Ensemble,Attribution Unchanged,Attribution Changed,Attribution Unchanged (Random),Attribution Changed (Random)
DINOv2,FASHION,FASHION_TRJ_900,268,756,364,660
DINOv2,FASHION,FASHION_TRJ_961,250,774,366,658
DINOv2,FASHION,FASHION_TRJ_1024,300,724,393,631
DINOv2,FASHION,FASHION_TRJ_1089,303,721,357,667
DINOv2,FASHION,FASHION_TRJ_1156,309,715,405,619
DINOv2,FASHION,FASHION_TRJ_1225,331,693,393,631
DINOv2,FASHION,FASHION_TRJ_1296,336,688,387,637
DINOv2,FASHION,FASHION_TRJ_1369,356,668,411,613
DINOv2,FASHION,FASHION_TRJ_1444,345,679,371,653
DINOv2,FASHION,FASHION_TRJ_1521,331,693,396,628
DINOv2,FASHION,FASHION_TRJ_1600,346,678,428,596
DINOv2,FASHION,FASHION_TRJ_1681,382,642,429,595
DINOv2,FASHION,FASHION_TRJ_1764,397,627,394,630
DINOv2,FASHION,FASHION_TRJ_1849,379,645,400,624
DINOv2,FASHION,FASHION_TRJ_1936,381,643,387,637
DINOv2,FASHION,FASHION_TRJ_2025,365,659,420,604
DINOv2,FASHION,FASHION_TRJ_2116,403,621,402,622
DINOv2,FASHION,FASHION_TRJ_2209,335,689,414,610
DINOv2,FASHION,FASHION_TRJ_2304,386,638,409,615
DINOv2,FASHION,FASHION_TRJ_2401,389,635,400,624
DINOv2,FASHION,FASHION_TRJ_2500,381,643,412,612
DINOv2,FASHION,FASHION_TRJ_2601,396,628,420,604
DINOv2,FASHION,FASHION_TRJ_2704,400,624,406,618
DINOv2,FASHION,FASHION_TRJ_2809,368,656,386,638
DINOv2,FASHION,FASHION_TRJ_2916,402,622,418,606
DINOv2,FASHION,FASHION_TRJ_3025,340,684,379,645
DINOv2,FASHION,FASHION_TRJ_3136,372,652,385,639
DINOv2,FASHION,FASHION_TRJ_3249,372,652,399,625
DINOv2,FASHION,FASHION_TRJ_3364,362,662,366,658
DINOv2,FASHION,FASHION_TRJ_3481,312,712,378,646
DINOv2,FASHION,FASHION_TRJ_3600,369,655,364,660
DINOv2,FASHION,FASHION_TRJ_3721,354,670,390,634
DINOv2,FASHION,FASHION_TRJ_3844,342,682,383,641
DINOv2,FASHION,FASHION_TRJ_3969,364,660,359,665
DINOv2,FASHION,FASHION_TRJ_4096,385,639,365,659
DINOv2,FASHION,FASHION_TRJ_4225,379,645,342,682
DINOv2,FASHION,FASHION_TRJ_4356,374,650,388,636
DINOv2,FASHION,FASHION_TRJ_4489,342,682,388,636
DINOv2,FASHION,FASHION_TRJ_4624,355,669,357,667
DINOv2,FASHION,FASHION_TRJ_4761,357,667,350,674
DINOv2,FASHION,FASHION_TRJ_4900,350,674,389,635
DINOv2,FASHION,FASHION_TRJ_5041,370,654,362,662
DINOv2,FASHION,FASHION_TRJ_5184,340,684,379,645
DINOv2,FASHION,FASHION_TRJ_5329,327,697,342,682
DINOv2,FASHION,FASHION_TRJ_5476,323,701,315,709
DINOv2,FASHION,FASHION_TRJ_5625,384,640,394,630
DINOv2,FASHION,FASHION_TRJ_5776,363,661,360,664
DINOv2,FASHION,FASHION_TRJ_5929,318,706,360,664
DINOv2,FASHION,FASHION_TRJ_6084,361,663,372,652
DINOv2,FASHION,FASHION_TRJ_6241,353,671,376,648
DINOv2,OTHER,MNIST_256,13,87,45,55
DINOv2,OTHER,MNIST_512,17,83,38,62
DINOv2,OTHER,MNIST_1024,19,81,30,70
DINOv2,OTHER,MNIST_2048,38,62,45,55
DINOv2,OTHER,MNIST_4096,38,62,29,71
DINOv2,OTHER,MNIST_8192,40,60,41,59
DINOv2,OTHER,FASHION_256,11,89,38,62
DINOv2,OTHER,FASHION_512,29,71,38,62
DINOv2,OTHER,FASHION_1024,38,62,45,55
DINOv2,OTHER,FASHION_2048,35,65,40,60
DINOv2,OTHER,FASHION_4096,34,66,37,63
DINOv2,OTHER,FASHION_8192,47,53,44,56
DINOv2,OTHER,CIFAR10_500,5,95,27,73
DINOv2,OTHER,CIFAR10_50000,40,60,45,55
DINOv2,OTHER,CIFAR100_500,4,96,28,72
DINOv2,OTHER,CIFAR100_50000,47,53,41,59
DINOv2,OTHER,CELEBA_SD_32,8,92,33,67
DINOv2,OTHER,CELEBA_SD_512,38,62,44,56
DINOv2,OTHER,CELEBA_SD_8192,31,69,39,61
DINOv2,OTHER,CELEBA_BA_32,9,91,34,66
DINOv2,OTHER,CELEBA_BA_512,33,67,41,59
DINOv2,OTHER,CELEBA_BA_8192,55,45,52,48
DINOv2,OTHER,METFACES,27,73,32,68
DINOv2,OTHER,ARTBENCH,42,58,41,59
